date,amount,category,type,description
2026-01-01,5000.00,Sales,income,Product sales
2026-01-03,-1200.00,Rent,expense,Office rent
2026-01-05,2500.00,Consulting,income,Consulting services
2026-01-07,-300.00,Utilities,expense,Electricity bill
2026-01-10,1800.00,Sales,income,Product sales
2026-01-12,-150.00,Software,expense,SaaS subscriptions
2026-01-15,3200.00,Sales,income,Product sales
2026-01-18,-800.00,Marketing,expense,Google Ads
2026-01-20,1500.00,Consulting,income,Consulting services
2026-01-22,-200.00,Supplies,expense,Office supplies
2026-01-25,2800.00,Sales,income,Product sales
2026-01-28,-1200.00,Rent,expense,Office rent
2026-02-01,5500.00,Sales,income,Product sales
2026-02-03,-350.00,Utilities,expense,Internet & phone
2026-02-05,2200.00,Consulting,income,Consulting services
2026-02-08,-150.00,Software,expense,SaaS subscriptions
2026-02-10,3500.00,Sales,income,Product sales
2026-02-12,-900.00,Marketing,expense,Social media ads
2026-02-15,1800.00,Consulting,income,Consulting services
2026-02-18,-250.00,Supplies,expense,Office supplies
2026-02-20,4200.00,Sales,income,Product sales
2026-02-22,-1200.00,Rent,expense,Office rent
2026-02-25,2800.00,Sales,income,Product sales
2026-02-28,-400.00,Utilities,expense,Electricity bill
2026-03-01,6000.00,Sales,income,Product sales
2026-03-04,-300.00,Utilities,expense,Water bill
2026-03-06,2500.00,Consulting,income,Consulting services
2026-03-09,-150.00,Software,expense,SaaS subscriptions
2026-03-12,3800.00,Sales,income,Product sales
2026-03-15,-1000.00,Marketing,expense,Content marketing
2026-03-18,2000.00,Consulting,income,Consulting services
2026-03-21,-200.00,Supplies,expense,Office supplies
2026-03-24,4500.00,Sales,income,Product sales
2026-03-27,-1200.00,Rent,expense,Office rent
2026-03-30,3200.00,Sales,income,Product sales
2026-04-02,6500.00,Sales,income,Product sales
2026-04-05,-350.00,Utilities,expense,Internet & phone
2026-04-08,2800.00,Consulting,income,Consulting services
2026-04-11,-150.00,Software,expense,SaaS subscriptions
2026-04-14,4200.00,Sales,income,Product sales
2026-04-17,-1100.00,Marketing,expense,Email marketing
2026-04-20,2200.00,Consulting,income,Consulting services
2026-04-23,-250.00,Supplies,expense,Office supplies
2026-04-26,5000.00,Sales,income,Product sales
2026-04-29,-1200.00,Rent,expense,Office rent
2026-05-02,3500.00,Sales,income,Product sales
2026-05-05,7000.00,Sales,income,Product sales
2026-05-08,-400.00,Utilities,expense,Electricity bill
2026-05-11,3000.00,Consulting,income,Consulting services
2026-05-14,-150.00,Software,expense,SaaS subscriptions
2026-05-17,4800.00,Sales,income,Product sales
2026-05-20,-1200.00,Marketing,expense,Google Ads
2026-05-23,2500.00,Consulting,income,Consulting services
2026-05-26,-300.00,Supplies,expense,Office supplies
2026-05-29,5500.00,Sales,income,Product sales
2026-06-01,-1200.00,Rent,expense,Office rent
2026-06-04,4000.00,Sales,income,Product sales
